"Name","Type","Line","Signature"
"_formatSeasonLeft","function","28396","function _formatSeasonLeft(leftMs){"
"softResetMMR","function","28415","function softResetMMR(mmr){"
"endSeason","function","28433","function endSeason(){"
"renderSeasonPanel","function","28472","function renderSeasonPanel(){"
"getActiveEventCards","function","28626","function getActiveEventCards(){"
"getActiveEventName","function","28635","function getActiveEventName(){"
"getDayKey","function","28706","function getDayKey(){ return new Date().toISOString().slice(0,10); }"
"getWeekKey","function","28707","function getWeekKey(){ const d=new Date(); const day=d.getDay(); const diff=d.getDate()-day+(day===0?-6:1); return new Date(d.setDate(diff)).toISOString().slice(0,10); }"
"ensureMissions","function","28709","function ensureMissions(){"
"updateMissionProgress","function","28732","function updateMissionProgress(statKey, amount){"
"renderChallengesPanelV51","function","28784","function renderChallengesPanelV51(){"
"missionCard","arrow","28792","const missionCard = (m, type)=>{"
"addBattlePassXP","function","28856","function addBattlePassXP(amount){"
"renderSeasonPassV51","function","28900","function renderSeasonPassV51(){"
"avatarOwned","function","29290","function avatarOwned(type, val){"
"el2","function","29812","function el2(id){return document.getElementById(id);}"
"notify2","function","29813","function notify2(msg,col='#fff',dur=2200){"
"rnd","function","29818","function rnd(arr){return arr[Math.floor(Math.random()*arr.length)];}"
"shuffle","function","29819","function shuffle(a){for(let i=a.length-1;i>0;i--){const j=Math.floor(Math.random()*(i+1));[a[i],a[j]]=[a[j],a[i]];}return a;}"
"_hmtInit","function","29858","function _hmtInit(){"
"update","function","29864","function update(){"
"makeScopaDeck","function","29921","function makeScopaDeck(){"
"scopaCardHTML","function","29927","function scopaCardHTML(card,idx,clickFn,sel=false){"
"startScopaGame","function","29944","function startScopaGame(numAI=1){"
"scopaRender","function","29979","function scopaRender(){"
"scopaSelectHand","function","30041","function scopaSelectHand(idx){"
"scopaSelectTable","function","30047","function scopaSelectTable(idx){"
"scopaClearSelection","function","30055","function scopaClearSelection(){SCOPAG.selectedCard=-1;SCOPAG.selectedTable=[];scopaRender();}"
"scopaPlayCard","function","30057","function scopaPlayCard(){"
"_scopaDoPlay","function","30073","function _scopaDoPlay(playerIdx, cardIdx, tableIdxs){"
"scopaDealHands","function","30141","function scopaDealHands(){"
"scopaEndRound","function","30156","function scopaEndRound(){"
"scopaCalcScores","function","30218","function scopaCalcScores(){"
"scopaAITurn","function","30248","function scopaAITurn(){"
"scopaBackToMenu","function","30306","function scopaBackToMenu(){"
"_scopaFlash","function","30327","function _scopaFlash(isHuman){"
"startScopaTourn","function","30351","function startScopaTourn(numAI){"
"makePokerDeck","function","30368","function makePokerDeck(){"
"pokerCardHTML","function","30374","function pokerCardHTML(card,face=true){"
"startPokerGame","function","30388","function startPokerGame(numAI=1){"
"pokerDealHand","function","30412","function pokerDealHand(){"
"pokerForceBet","function","30431","function pokerForceBet(idx,amount){"
"pokerRender","function","30437","function pokerRender(){"
"pkUpdateBetDisplay","function","30485","function pkUpdateBetDisplay(val){el2('pk-bet-display').textContent=val;}"
"pkQuickBet","function","30486","function pkQuickBet(type){"
"pkAction","function","30495","function pkAction(action){"
"pokerNextTurn","function","30514","function pokerNextTurn(){"
"pokerNextStage","function","30533","function pokerNextStage(){"
"pokerShowdown","function","30550","function pokerShowdown(){"
"_pokerEndRound","function","30592","function _pokerEndRound(humanWon){"
"_pokerShowEndOverlay","function","30631","function _pokerShowEndOverlay(humanWon){"
"pokerAITurn","function","30672","function pokerAITurn(){"
"pokerBestHand","function","30721","function pokerBestHand(cards){"
"pokerEvalHand","function","30727","function pokerEvalHand(cards){"
"pokerHandName","function","30756","function pokerHandName(cards){"
"pokerBackToMenu","function","30770","function pokerBackToMenu(){"
"brrCardPts","function","30798","function brrCardPts(c){if(c.wild)return c.v==='joker'?30:20;if(c.v==='A')return 15;if(['J','Q','K'].includes(c.v))return 10;if(parseInt(c.v)>=8)return 10;return 5;}"
"makeBurrDeck","function","30802","function makeBurrDeck(){"
"brrCardHTML","function","30812","function brrCardHTML(card,idx,selected=false,clickFn='burrSelCard'){"
"startBurracoGame","function","30825","function startBurracoGame(numAI=1){"
"burrRender","function","30859","function burrRender(){"
"_burrComboHTML","function","30928","function _burrComboHTML(combo,ci,playerIdx,isAttachMode){"
"burrSelCard","function","30942","function burrSelCard(idx){if(BRRG.turn!==0)return;const pos=BRRG.selected.indexOf(idx);if(pos>=0)BRRG.selected.splice(pos,1);else BRRG.selected.push(idx);burrRender();}"
"burrClearSel","function","30943","function burrClearSel(){BRRG.selected=[];burrRender();}"
"burrDraw","function","30945","function burrDraw(source){"
"burrMeld","function","30960","function burrMeld(){"
"_burrValidateCombo","function","30985","function _burrValidateCombo(cards){"
"burrExtend","function","31008","function burrExtend(){"
"burrAttachToCombo","function","31020","function burrAttachToCombo(playerIdx, comboIdx){"
"burrDiscardSelected","function","31047","function burrDiscardSelected(){"
"burrAITurn","function","31067","function burrAITurn(){"
"burrEndRound","function","31130","function burrEndRound(winnerIdx){"
"burracoBackToMenu","function","31179","function burracoBackToMenu(){"
"checkScopaFeats","function","31200","function checkScopaFeats(humanWon){"
"_uf","arrow","31204","const _uf=(feat)=>{const t=unlockFeat(feat);if(t){notify(`🏷️ Titolo sbloccato: ""${t.txt}""`);saveP();}};"
"checkBurracoFeats","function","31259","function checkBurracoFeats(humanWon){"
"_uf","arrow","31263","const _uf=(feat)=>{const t=unlockFeat(feat);if(t){notify(`🏷️ Titolo sbloccato: ""${t.txt}""`);saveP();}};"
"checkPokerFeats","function","31306","function checkPokerFeats(humanWon){"
"_uf","arrow","31310","const _uf=(feat)=>{const t=unlockFeat(feat);if(t){notify(`🏷️ Titolo sbloccato: ""${t.txt}""`);saveP();}};"
"checkMMFeats","function","31353","function checkMMFeats(humanWon){"
"_uf","arrow","31357","const _uf=(feat)=>{const t=unlockFeat(feat);if(t){notify(`🏷️ Titolo sbloccato: ""${t.txt}""`);saveP();}};"
"_showMiniEndOverlay","function","31405","function _showMiniEndOverlay(screenId,humanWon,mmrResult,gameLabel,relaunchMode){"
"makeMMDeck","function","31467","function makeMMDeck(){"
"mmCardHTML","function","31473","function mmCardHTML(card,idx,selected=false){"
"startMMGame","function","31484","function startMMGame(numAI=1){"
"mmRender","function","31512","function mmRender(){"
"mmSelCard","function","31550","function mmSelCard(idx){if(MMG.turn!==0)return;MMG.selected=MMG.selected===idx?-1:idx;mmRender();}"
"mmClearSel","function","31551","function mmClearSel(){MMG.selected=-1;mmRender();}"
"mmDraw","function","31553","function mmDraw(){"
"mmPlaySelected","function","31570","function mmPlaySelected(){"
"mmDiscardSelected","function","31579","function mmDiscardSelected(){"
"_mmValidatePlay","function","31592","function _mmValidatePlay(player,card,target){"
"_mmApplyCard","function","31609","function _mmApplyCard(playerIdx, cardIdx, targetIdx){"
"mmEndGame","function","31648","function mmEndGame(winnerIdx){"
"mmAITurn","function","31672","function mmAITurn(){"
"mmHazardFlash","function","31743","function mmHazardFlash(){const s=document.getElementById('millemiglia-screen');if(!s)return;const f=document.createElement('div');f.style.cssText='position:absolute;inset:0;background:rgba(244,63,94,.2);z-index:500;pointer-events:none;border-radius:inherit';s.style.position='relative';s.appendChild(f);setTimeout(()=>f.remove(),400);}"
"_mmApplyAI","function","31744","function _mmApplyAI(playerIdx,cardIdx,targetIdx){"
"mmBackToMenu","function","31755","function mmBackToMenu(){"
"clTourneySelectGame","function","31775","function clTourneySelectGame(game){"
"clTourneyBackToPicker","function","31784","function clTourneyBackToPicker(){"
"newMpSelectGame","function","31792","function newMpSelectGame(game){"
"newMpBackToPicker","function","31808","function newMpBackToPicker(){"
"openClassicTournament","function","31823","function openClassicTournament(game){"
"_startClassicTournament","function","31840","function _startClassicTournament(game,numAI){"
"renderClassicTournament","function","31853","function renderClassicTournament(){"
"playClassicTourneyMatch","function","31878","function playClassicTourneyMatch(matchIdx){"
"cb","arrow","31883","const cb=(humanWon)=>{"
"simClassicMatch","function","31909","function simClassicMatch(matchIdx){"
"closeClTourney","function","31919","function closeClTourney(){"
"openNewMpModal","function","31956","function openNewMpModal(game){"
"closeNewMpModal","function","31970","function closeNewMpModal(){el2('new-mp-modal').classList.remove('on');}"
"newMpTab","function","31972","function newMpTab(tab,el){"
"newMpHostInit","function","31979","function newMpHostInit(){"
"copyNewMpCode","function","32004","function copyNewMpCode(){"
"_newMpRenderSlots","function","32009","function _newMpRenderSlots(){"
"newMpStartGame","function","32016","function newMpStartGame(){"
"newMpJoin","function","32028","function newMpJoin(){"
"newMpGuestReady","function","32050","function newMpGuestReady(){notify2('✅ Sei pronto! Aspetta che l\'host avvii la partita.','#34D399');}"
"_newMpHandleData","function","32052","function _newMpHandleData(data,conn){"
"_activateFocusTrap","function","32075","function _activateFocusTrap(modal){"
"_releaseFocusTrap","function","32084","function _releaseFocusTrap(){"
"syncAriaDisabled","function","32136","function syncAriaDisabled(el){"
"_syncDotAriaLabel","function","32177","function _syncDotAriaLabel(dotEl){"
"_syncAiPanelLabel","function","32242","function _syncAiPanelLabel(countBadge){"
"_hmtKeydown","function","32348","function _hmtKeydown(event, target) {"
"_injectArrow","function","32486","function _injectArrow() {"
"_tick","function","32501","function _tick() {"
"_triggerSpot","function","32524","function _triggerSpot() {"
"_buildLink","function","32541","function _buildLink(code, mode) {"
"ok","function","32556","function ok() {"
"_injectLinkBtn","function","32570","function _injectLinkBtn(containerSel, mode, afterSel) {"
"_injectAllLinks","function","32590","function _injectAllLinks() {"
"safePatch","function","32687","function safePatch(fnName, newFn) {"
"renderPentathlonBtn","function","32955","function renderPentathlonBtn() {"
"ensureBotSystem","function","32977","function ensureBotSystem() {"
"tcSelectGame","function","33159","function tcSelectGame(game) {"
"tcRenderBracket","function","33192","function tcRenderBracket() {"
"tcSimMatch","function","33287","function tcSimMatch(matchIdx) {"
"tcPlayMatch","function","33300","function tcPlayMatch(matchIdx) {"
"cb","arrow","33308","const cb = (humanWon) => {"
"tcCheckRoundEnd","function","33338","function tcCheckRoundEnd() {"
"tcReset","function","33346","function tcReset() {"
"getBondLevel","function","33777","function getBondLevel(xp) {"
